state,stay,flap
620,3.82930851,0.00000000
621,9.89732152,0.00000000
622,6.51373790,0.28058738
623,1.40026855,1.20798422
624,9.94119331,1.46362279
625,10.55419158,2.14012823
626,0.46216942,0.00000000
627,0.16710371,0.00000000
628,0.20669844,0.00000000
629,13.18834193,1.10882131
630,0.00000000,0.00000000
631,0.00000000,0.00000000
632,-15.92239061,-15.63322653
633,9.90528325,0.11983865
634,9.60279404,0.00000000
635,10.87799319,0.26556335
636,12.36658249,0.22786576
637,7.70772509,0.00000000
638,12.53116606,0.00000000
639,13.11857285,0.00000000
640,0.16040969,0.00000000
641,0.59861539,0.00000000
642,0.53114774,0.00000000
643,13.02143821,0.00000000
644,0.00000000,0.00000000
645,0.00000000,0.00000000
646,0.00000000,0.00000000
647,0.00000000,0.00000000
648,0.00000000,0.00000000
649,0.00000000,0.00000000
650,0.00000000,0.00000000
651,0.00000000,0.00000000
652,0.00000000,0.00000000
653,0.00000000,0.00000000
654,0.24573089,0.00000000
655,0.00000000,0.00000000
656,0.00000000,0.00000000
657,0.00000000,0.00000000
658,0.00000000,0.00000000
659,0.00000000,0.00000000
660,0.00000000,0.00000000
661,0.00000000,0.00000000
662,0.00000000,0.00000000
663,0.00000000,0.00000000
664,0.00000000,0.00000000
665,0.11404358,0.00000000
666,0.00000000,0.00000000
667,0.00000000,0.00000000
668,0.10718936,0.00000000
669,0.00000000,0.00000000
670,0.00000000,0.00000000
671,0.00000000,0.00000000
672,0.00000000,0.00000000
673,0.00000000,0.00000000
674,-16.00000000,0.00000000
675,-13.52090001,4.59369250
676,-6.51450470,15.78426595
677,0.80814962,14.98392979
678,-7.37861787,14.14159598
679,11.43396075,0.00000000
680,7.11251697,0.00000000
681,-13.25382047,15.71753101
682,-16.00000000,5.40390534
683,-15.77675511,0.00000000
684,0.09393632,0.00000000
685,-13.25649283,12.75152983
686,-16.00000000,3.11505112
687,0.00000000,0.00000000
688,-13.34100679,9.34664853
689,-5.64301458,15.75123310
690,-8.38722748,15.90361420
691,-5.52347978,15.58548108
692,0.83861654,15.58182351
693,-11.89617327,10.54895792
694,-7.70493083,16.36800292
695,1.93382721,16.04912718
696,-15.74769864,14.93747505
697,0.54823187,0.00000000
698,-16.00000000,0.00000000
699,9.79614221,1.80790551
700,-16.00000000,0.00000000
701,0.00000000,0.00000000
702,-1.74694143,16.07960844
703,2.83994213,15.84643632
704,2.18270073,15.95156225
705,-8.24197875,15.32892943
706,2.80529906,15.59716211
707,6.37049199,16.34615362
708,8.86597153,16.31719154
709,-7.78227610,15.83144044
710,-14.86842239,9.54473447
711,0.52045250,0.00000000
712,0.31795194,0.00000000
713,-5.35715519,12.28222439
714,0.00000000,0.00000000
715,-16.00000000,0.00000000
716,-16.00000000,14.71007105
717,1.71322610,16.02789133
718,14.63507611,0.00000000
719,11.65346889,2.45357618
720,9.87258130,3.57120546
721,12.61746240,0.00000000
722,-12.89646657,15.82575283
723,9.49553990,6.41183721
724,0.00000000,0.00000000
725,0.12705815,0.00000000
726,1.83266654,0.62720090
727,5.32466971,11.63160035
728,0.00000000,0.00000000
729,0.00000000,0.00000000
730,-15.73700371,-15.26583576
731,1.81910516,0.00000000
732,0.94669398,0.13646615
733,1.17234616,0.00000000
734,2.92510252,0.00000000
735,0.00000000,0.00000000
736,12.68747091,0.00000000
737,8.52852516,0.00000000
738,0.00000000,0.00000000
739,0.22704027,0.00000000
740,1.66624067,0.33988513
741,4.71324796,1.73052313
742,0.00000000,0.00000000
743,0.00000000,0.00000000
744,0.56762612,0.00000000
745,1.24453946,0.00000000
746,0.72255633,0.00000000
747,0.48365070,0.00000000
748,0.19941246,0.00000000
749,0.00000000,0.00000000
750,10.05851165,0.00000000
751,4.53654636,14.53851295
752,0.00000000,0.00000000
753,0.00000000,0.00000000
754,1.67598173,0.61813932
755,3.43598923,0.24482157
756,0.00000000,0.00000000
757,0.00000000,0.00000000
758,0.00000000,0.00000000
759,1.18850359,0.00000000
760,0.98133580,0.00000000
761,0.47654460,0.00000000
